ID,Title,Category,Muscle_Group,Muscles,Equipment,Difficulty,GIF_URL,use_time,Description
113,Dumbbell Rear Lunge,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Dumbbells,2/3,https://fitcron.com/wp-content/uploads/2021/04/03811301-Dumbbell-Rear-Lunge_Thighs_720.gif,False,Hold a dumbbell in each hand
114,Dumbbell Plyo Squat,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Dumbbells,3/3,https://fitcron.com/wp-content/uploads/2021/04/03711301-Dumbbell-Plyo-Squat_thighs_720.gif,False,Hold a dumbbell at chest level
115,Dumbbell Lunge,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Dumbbells,2/3,https://fitcron.com/wp-content/uploads/2021/04/03361301-Dumbbell-Lunge_Hips_720.gif,False,Hold a dumbbell in each hand
116,Dumbbell Romanian Deadlift,Strength,Legs,"Adductor, Calves, Glutes, Hamstrings, Lower Back, Quadriceps",Dumbbells,2/3,https://fitcron.com/wp-content/uploads/2021/04/14591301-Dumbbell-Romanian-Deadlift_Hips_720.gif,False,Hold dumbbells in front of thighs
117,Dumbbell Bench Squat,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps","Flat Bench, Dumbbells",2/3,https://fitcron.com/wp-content/uploads/2021/04/02911301-Dumbbell-Bench-Squat_thighs_720.gif,False,Hold dumbbells at your sides
118,Dumbbell Gobelt Curtsey Lunge,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Dumbbells,3/3,https://fitcron.com/wp-content/uploads/2021/04/36831301-Dumbbell-Gobelt-Curtsey-Lunge_Thighs_720.gif,False,Hold a dumbbell at chest level
119,Dumbbell Side Lunge Version 3,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Dumbbells,1/3,https://fitcron.com/wp-content/uploads/2021/04/34481301-Dumbbell-Side-Lunge-VERSION-3_720.gif,False,Hold a dumbbell in each hand
120,Dumbbell Glute Bridge,Strength,Legs,"Adductor, Calves, Glutes, Hamstrings, Quadriceps",Dumbbells,2/3,https://fitcron.com/wp-content/uploads/2021/04/33351301-Dumbbell-Glute-Bridge_Hip_720.gif,False,Lie on your back with knees bent
121,Dumbbell Supported Squat,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps","Dumbbells, Other",2/3,https://fitcron.com/wp-content/uploads/2021/04/28041301-Dumbbell-Supported-Squat_Thighs_720.gif,False,Hold a dumbbell at chest level
122,Dumbbell Sumo Pull Through,Strength,Legs,"Adductor, Calves, Glutes, Hamstrings, Quadriceps",Dumbbells,2/3,https://fitcron.com/wp-content/uploads/2021/04/28071301-Dumbbell-Sumo-Pull-Through_Hips_720.gif,False,Hold a dumbbell with both hands
123,Dumbbell Goblet Squat Thighs Fix,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Dumbbells,2/3,https://fitcron.com/wp-content/uploads/2021/04/17601301-Dumbbell-Goblet-Squat_Thighs-FIX_720.gif,False,Hold a dumbbell at chest level
125,Dumbbell Single Leg Deadlift,Strength,Legs,"Adductor, Calves, Glutes, Hamstrings, Quadriceps",Dumbbells,3/3,https://fitcron.com/wp-content/uploads/2021/04/17571301-Dumbbell-Single-Leg-Deadlift_Hips_720.gif,False,Hold a dumbbell in one hand
126,Dumbbell Split Jump,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Dumbbells,2/3,https://fitcron.com/wp-content/uploads/2021/04/15541301-Dumbbell-Split-Jump_Plyometric_720.gif,False,Hold a dumbbell in each hand
127,Dumbbell Squat,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Dumbbells,2/3,https://fitcron.com/wp-content/uploads/2021/04/15551301-Dumbbell-Squat_Thighs_720.gif,False,Hold a dumbbell in each hand at your sides
128,Dumbbell Wall Squat,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Dumbbells,2/3,https://fitcron.com/wp-content/uploads/2021/04/15581301-Dumbbell-Wall-Squat_Thighs_720.gif,False,Hold a dumbbell at chest level
129,Dumbbell Decline Bench Lunge,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps","Incline Bench, Dumbbells",2/3,https://fitcron.com/wp-content/uploads/2021/04/15511301-Dumbbell-Decline-Bench-Lunge_Thighs_720.gif,False,Hold dumbbells at your sides
130,Dumbbell Jumping Squat,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Dumbbells,3/3,https://fitcron.com/wp-content/uploads/2021/04/15521301-Dumbbell-Jumping-Squat_Plyometric_720.gif,False,Hold a dumbbell at chest level
131,Barbell Front Step Up,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps","Barbell, Other",2/3,https://fitcron.com/wp-content/uploads/2021/04/37281301-Barbell-Front-Step-Up_Thighs_720.gif,False,Hold a barbell across your upper back
132,Barbell Curtsey Lunge,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Barbell,3/3,https://fitcron.com/wp-content/uploads/2021/04/37231301-Barbell-Curtsey-Lunge_Thighs_720.gif,False,Hold a barbell across your upper back
133,Barbell Rack Pull Hips Fix,Strength,Legs,"Adductor, Calves, Glutes, Hamstrings, Quadriceps","Barbell, Other",2/3,https://fitcron.com/wp-content/uploads/2021/04/00741301-Barbell-Rack-Pull_Hips-FIX_720.gif,False,Set a barbell on a rack at knee height. Hinge at hips
134,Barbell Split Squat,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Barbell,2/3,https://fitcron.com/wp-content/uploads/2021/04/30301301-Barbell-Split-Squat_Thighs_720.gif,False,Hold a barbell across your upper back
135,Barbell Glute Bridge Hands On Bar,Strength,Legs,"Adductor, Calves, Glutes, Hamstrings, Quadriceps",Barbell,2/3,https://fitcron.com/wp-content/uploads/2021/04/29641301-Barbell-Glute-Bridge-hands-on-bar_Hips_720.gif,False,Lie on your back with a barbell across your hips
136,Barbell Glute Bridge Two Legs On Bench Male,Strength,Legs,"Adductor, Calves, Glutes, Hamstrings, Quadriceps","Flat Bench, Barbell",2/3,https://fitcron.com/wp-content/uploads/2021/04/35621301-Barbell-Glute-Bridge-Two-Legs-on-Bench-male_Hips_720.gif,False,Rest upper back on a bench
137,Barbell Deadlift Hips Fix,Strength,Legs,"Adductor, Calves, Glutes, Hamstrings, Quadriceps",Barbell,2/3,https://fitcron.com/wp-content/uploads/2021/04/00321301-Barbell-Deadlift_Hips-FIX_720.gif,False,Stand with a barbell over mid-foot
138,Barbell Sumo Deadlift,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Barbell,3/3,https://fitcron.com/wp-content/uploads/2021/04/01171301-Barbell-Sumo-Deadlift_Hips_720.gif,False,Stand with a wide stance
139,Barbell Single Leg Deadlift,Strength,Legs,"Adductor, Calves, Glutes, Hamstrings, Quadriceps",Barbell,3/3,https://fitcron.com/wp-content/uploads/2021/04/17561301-Barbell-Single-Leg-Deadlift_Hips_720.gif,False,Hold a barbell in both hands
140,Barbell Quarter Squat,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Barbell,1/3,https://fitcron.com/wp-content/uploads/2021/04/15141301-Barbell-Quarter-Squat_Thighs_720.gif,False,Hold a barbell across your upper back
141,Barbell Decline Bench Lunge,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps","Incline Bench, Barbell",2/3,https://fitcron.com/wp-content/uploads/2021/04/15181301-Barbell-Decline-Bench-Lunge_Thighs_720.gif,False,Hold a barbell across your upper back
142,Barbell Lateral Lunge,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Barbell,3/3,https://fitcron.com/wp-content/uploads/2021/04/14101301-Barbell-Lateral-Lunge_Hips_720.gif,False,Hold a barbell across your upper back
143,Kneeling Jump Squat,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Barbell,3/3,https://fitcron.com/wp-content/uploads/2021/04/14201301-Kneeling-Jump-Squat_Hips_720.gif,False,Kneel on the ground
144,Barbell Jump Squat,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Barbell,3/3,https://fitcron.com/wp-content/uploads/2021/04/00531301-Barbell-Jump-Squat_Thighs_720.gif,False,Hold a barbell across your upper back
145,Barbell One Leg Hip Thrust,Strength,Legs,"Adductor, Calves, Glutes, Hamstrings, Quadriceps","Flat Bench, Barbell",2/3,https://fitcron.com/wp-content/uploads/2021/04/10611301-Barbell-one-leg-hip-thrust_Hips_720.gif,False,Rest upper back on a bench
146,Barbell Hip Thrust,Strength,Legs,"Adductor, Calves, Glutes, Hamstrings, Quadriceps","Flat Bench, Barbell",2/3,https://fitcron.com/wp-content/uploads/2021/04/10601301-Barbell-Hip-Thrust_Hips_720.gif,False,Rest upper back on a bench
147,Barbell Squat On Knees,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Barbell,2/3,https://fitcron.com/wp-content/uploads/2021/04/01021301-Barbell-Squat-on-knees_Thighs_720.gif,False,Kneel with a barbell across your upper back
148,Barbell Seated Calf Raise,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Barbell,2/3,https://fitcron.com/wp-content/uploads/2021/04/00881301-Barbell-Seated-Calf-Raise_Calves_720.gif,False,Sit on a bench with a barbell across your thighs
149,Barbell Wide Squat,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Barbell,2/3,https://fitcron.com/wp-content/uploads/2021/04/01241301-Barbell-Wide-Squat_Thighs_720.gif,False,Hold a barbell across your upper back
150,Barbell Standing Leg Calf Raise,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps","Barbell, Other",3/3,https://fitcron.com/wp-content/uploads/2021/04/01081301-Barbell-Standing-Leg-Calf-Raise_Calf_720.gif,False,Hold a barbell across your upper back
151,Barbell Romanian Deadlift,Strength,Legs,"Adductor, Calves, Glutes, Hamstrings, Lower Back, Quadriceps",Barbell,3/3,https://fitcron.com/wp-content/uploads/2021/04/00851301-Barbell-Romanian-Deadlift_Hips_720.gif,False,Hold a barbell in front of thighs
152,Barbell Rear Lunge Ii,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Barbell,3/3,https://fitcron.com/wp-content/uploads/2021/04/00771301-Barbell-Rear-Lunge-II_Thighs_720.gif,False,Hold a barbell across your upper back
153,Barbell One Leg Squat,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Barbell,3/3,https://fitcron.com/wp-content/uploads/2021/04/00681301-Barbell-One-Leg-Squat_thighs_720.gif,False,Hold a barbell across your upper back
154,Barbell Narrow Stance Squat,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Barbell,2/3,https://fitcron.com/wp-content/uploads/2021/04/00631301-Barbell-Narrow-Stance-Squat_Thighs_720.gif,False,Hold a barbell across your upper back
155,Barbell Good Morning,Strength,Legs,"Adductor, Calves, Glutes, Hamstrings, Lower Back, Quadriceps",Barbell,2/3,https://fitcron.com/wp-content/uploads/2021/04/00441301-Barbell-Good-Morning_Thighs_720.gif,False,Hold a barbell across your upper back
156,Barbell Full Squat,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Barbell,3/3,https://fitcron.com/wp-content/uploads/2021/04/00431301-Barbell-Full-Squat_Thighs_720.gif,False,Hold a barbell across your upper back
157,Barbell Bench Squat,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Barbell,2/3,https://fitcron.com/wp-content/uploads/2021/04/00261301-Barbell-Bench-Squat_Hips_720.gif,False,Hold a barbell across your upper back
158,Landmine Romanian Deadlift Version 2,Strength,Legs,"Adductor, Calves, Glutes, Hamstrings, Lower Back, Quadriceps",Machine,2/3,https://fitcron.com/wp-content/uploads/2021/04/42471301-Landmine-Romanian-Deadlift-VERSION-2_Hips_720.gif,False,Hold a landmine barbell with both hands
159,Landmine Front Squat,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Machine,2/3,https://fitcron.com/wp-content/uploads/2021/04/42461301-Landmine-Front-Squat_Thighs_720.gif,False,Hold a landmine barbell at chest level
160,Landmine Rear Lunge Version 2,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Machine,2/3,https://fitcron.com/wp-content/uploads/2021/04/40401301-Landmine-Rear-Lunge-VERSION-2_Thighs_720.gif,False,Hold a landmine barbell at chest level
161,Lever Seated Hip Abduction Hips Fix,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Machine,1/3,https://fitcron.com/wp-content/uploads/2021/04/05971301-Lever-Seated-Hip-Abduction_Hips-FIX_720.gif,False,Sit in a lever hip abduction machine
162,Lever Seated Calf Raise Plate Loaded Version 2,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Machine,1/3,https://fitcron.com/wp-content/uploads/2021/04/26661301-Lever-Seated-Calf-Raise-plate-loaded-VERSION-2_Calves_720.gif,False,Sit in a lever calf raise machine
163,Lever Seated Leg Curl Thighs Fix,Strength,Legs,"Adductor, Calves, Glutes, Hamstrings, Quadriceps",Machine,2/3,https://fitcron.com/wp-content/uploads/2021/04/05991301-Lever-Seated-Leg-Curl_Thighs-FIX_720.gif,False,Sit in a lever leg curl machine
164,Lever Kneeling Leg Curl Plate Loaded,Strength,Legs,"Adductor, Calves, Glutes, Hamstrings, Quadriceps",Machine,2/3,https://fitcron.com/wp-content/uploads/2021/04/05821301-Lever-Kneeling-Leg-Curl-plate-loaded_Thighs_720.gif,False,Kneel in a lever leg curl machine
165,Sled Wide Hack Squat Male,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Machine,2/3,https://fitcron.com/wp-content/uploads/2021/04/41001301-Sled-Wide-Hack-Squat-male_Thighs_720.gif,False,Stand in a sled hack squat machine with a wide stance
166,Sled Full Hack Squat,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Machine,2/3,https://fitcron.com/wp-content/uploads/2021/04/19921301-Sled-Full-Hack-Squat_Thighs_720.gif,False,Stand in a sled hack squat machine
167,Hack Calf Raise,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Machine,2/3,https://fitcron.com/wp-content/uploads/2021/04/13831301-Hack-Calf-Raise_Calves_720.gif,False,Stand in a hack squat machine
168,Sled Calf Press On Leg Press,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Machine,2/3,https://fitcron.com/wp-content/uploads/2021/04/13911301-Sled-Calf-Press-On-Leg-Press_Calves_720.gif,False,Sit in a sled leg press machine
169,Lever Donkey Calf Raise,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Machine,2/3,https://fitcron.com/wp-content/uploads/2021/04/12531301-Lever-Donkey-Calf-Raise_Calves_720.gif,False,Lean forward in a lever donkey calf raise machine
170,Sled 45° Narrow Stance Leg Press,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Machine,2/3,https://fitcron.com/wp-content/uploads/2021/04/15751301-Sled-45°-Narrow-Stance-Leg-Press_Thighs_720.gif,False,Sit in a 45° sled leg press
171,Sled 45° Leg Wide Press,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Machine,2/3,https://fitcron.com/wp-content/uploads/2021/04/07401301-Sled-45°-Leg-Wide-Press_Thighs_720.gif,False,Sit in a 45° sled leg press
172,Lever Lying Leg Curl,Strength,Legs,"Adductor, Calves, Glutes, Hamstrings, Quadriceps",Machine,1/3,https://fitcron.com/wp-content/uploads/2021/04/05861301-Lever-Lying-Leg-Curl_Thighs_720.gif,False,Lie face down in a lever leg curl machine
173,Lever Calf Raise Bench Press Machine,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Machine,2/3,https://fitcron.com/wp-content/uploads/2021/04/12201301-Lever-Calf-Raise-bench-press-machine_Calves_720.gif,False,Use a bench press machine’s footplate
174,Lever Standing Rear Kick,Strength,Legs,"Adductor, Calves, Glutes, Hamstrings, Quadriceps",Machine,2/3,https://fitcron.com/wp-content/uploads/2021/04/10371301-Lever-Standing-Rear-Kick_Hips_720.gif,False,Stand in a lever machine
175,Lever Standing Leg Raise,Strength,Legs,"Abs, Adductor, Calves, Glutes, Quadriceps",Machine,2/3,https://fitcron.com/wp-content/uploads/2021/04/10361301-Lever-Standing-Leg-Raise_Hips_720.gif,False,Stand in a lever machine
176,Lever Side Hip Adduction,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Machine,2/3,https://fitcron.com/wp-content/uploads/2021/04/10351301-Lever-Side-Hip-Adduction_Hips_720.gif,False,Sit in a lever hip adduction machine
177,Lever Side Hip Abduction,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Machine,2/3,https://fitcron.com/wp-content/uploads/2021/04/10341301-Lever-Side-Hip-Abduction_Hips_720.gif,False,Sit in a lever hip abduction machine
178,Sled Forward Angled Calf Raise,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Machine,2/3,https://fitcron.com/wp-content/uploads/2021/04/07421301-Sled-Forward-Angled-Calf-Raise_Calf_720.gif,False,Stand in a sled machine with toes on a platform
179,Lever Standing Calf Raise,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Machine,2/3,https://fitcron.com/wp-content/uploads/2021/04/06051301-Lever-Standing-Calf-Raise_Calf_720.gif,False,Stand in a lever calf raise machine
180,Lever Seated Hip Adduction,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Machine,1/3,https://fitcron.com/wp-content/uploads/2021/04/05981301-Lever-Seated-Hip-Adduction_Thighs_720.gif,False,Sit in a lever hip adduction machine
181,Lever Leg Extension,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Machine,1/3,https://fitcron.com/wp-content/uploads/2021/04/05851301-Lever-Leg-Extension_Thighs_720.gif,False,Sit in a lever leg extension machine
182,Lever Deadlift Plate Loaded,Strength,Legs,"Adductor, Calves, Glutes, Hamstrings, Quadriceps",Machine,1/3,https://fitcron.com/wp-content/uploads/2021/04/05781301-Lever-Deadlift-plate-loaded_Thighs_720.gif,False,Stand in a lever deadlift machine
183,Smith Reverse Grip Bent Over Row,Strength,Back,"Biceps, Lats, Lower Back",Machine,2/3,https://fitcron.com/wp-content/uploads/2021/04/13611301-Smith-Reverse-Grip-Bent-Over-Row_Back_720.gif,False,Stand in a Smith machine
184,Smith One Arm Row,Strength,Back,"Biceps, Lats, Lower Back",Machine,2/3,https://fitcron.com/wp-content/uploads/2021/04/13601301-Smith-One-Arm-Row_Back_720.gif,False,Stand beside a Smith machine
185,Lever Back Extension,Strength,Core,"Abs, Glutes, Lower Back",Machine,2/3,https://fitcron.com/wp-content/uploads/2021/04/05731301-Lever-Back-Extension_Waist_720.gif,False,Sit in a lever back extension machine
186,Self Assisted Inverse Leg Curl Version 2,Strength,Legs,"Adductor, Calves, Glutes, Hamstrings, Quadriceps",Other,3/3,https://fitcron.com/wp-content/uploads/2021/04/35071301-Self-Assisted-Inverse-Leg-Curl-VERSION-2_Thighs_720.gif,False,Use a support to assist
187,Stepdown Squat,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Other,1/3,https://fitcron.com/wp-content/uploads/2021/04/42561301-Stepdown-Squat_Thighs_720.gif,False,Stand on a bench
188,Weighted Seated Calf Raise,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps","Dumbbells, Other",1/3,https://fitcron.com/wp-content/uploads/2021/04/41551301-Weighted-Seated-Calf-Raise_Calves_720.gif,False,Sit on a bench with weights on thighs
189,Donkey Calf Raise,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Other,1/3,https://fitcron.com/wp-content/uploads/2021/04/02841301-Donkey-Calf-Raise_Calves_720.gif,False,Lean forward with weight on your lower back
190,Band One Arm Single Leg Split Squat,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Resistance Bands,2/3,https://fitcron.com/wp-content/uploads/2021/04/09871301-Band-One-Arm-Single-Leg-Split-Squat_Hips_720.gif,False,Hold a resistance band with one hand
191,Band Pull Through,Strength,Legs,"Adductor, Calves, Glutes, Hamstrings, Quadriceps",Resistance Bands,1/3,https://fitcron.com/wp-content/uploads/2021/04/09911301-Band-pull-through_Hips_720.gif,False,Stand with a resistance band anchored behind
192,Band Seated Hip External Rotation,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Resistance Bands,2/3,https://fitcron.com/wp-content/uploads/2021/04/09951301-Band-Seated-Hip-External-Rotation_Hips_720.gif,False,Sit with a resistance band around thighs
193,Band Seated Hip Internal Rotation,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Resistance Bands,2/3,https://fitcron.com/wp-content/uploads/2021/04/09961301-Band-Seated-Hip-Internal-Rotation_Hips_720.gif,False,Sit with a resistance band around thighs
194,Band Single Leg Calf Raise,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Resistance Bands,2/3,https://fitcron.com/wp-content/uploads/2021/04/09991301-Band-single-leg-calf-raise_Calves_720.gif,False,Stand on one leg with a resistance band under the foot
195,Band Single Leg Reverse Calf Raise,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Resistance Bands,2/3,https://fitcron.com/wp-content/uploads/2021/04/10001301-Band-single-leg-reverse-calf-raise_Calves_720.gif,False,Stand on one leg with a resistance band around the ankle
196,Band Single Leg Split Squat,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Resistance Bands,2/3,https://fitcron.com/wp-content/uploads/2021/04/10011301-Band-single-leg-split-squat_Hips_720.gif,False,Stand with a resistance band under one foot
197,Band Squat,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Resistance Bands,2/3,https://fitcron.com/wp-content/uploads/2021/04/10041301-Band-squat_Hips_720.gif,False,Stand on a resistance band
198,Band Step Up,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Resistance Bands,2/3,https://fitcron.com/wp-content/uploads/2021/04/10081301-Band-step-up_Hips_720.gif,False,Stand on a resistance band
199,Band Stiff Leg Deadlift,Strength,Legs,"Adductor, Calves, Glutes, Hamstrings, Lower Back, Quadriceps",Resistance Bands,1/3,https://fitcron.com/wp-content/uploads/2021/04/10091301-Band-stiff-leg-deadlift_Hips_720.gif,False,Stand on a resistance band
200,Band Lying Hip External Rotation,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Resistance Bands,2/3,https://fitcron.com/wp-content/uploads/2021/04/09821301-Band-Lying-Hip-External-Rotation_Hips_720.gif,False,Lie on your back with a resistance band around thighs
201,Band Lying Hip Internal Rotatio,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Resistance Bands,2/3,https://fitcron.com/wp-content/uploads/2021/04/09841301-Band-Lying-Hip-Internal-Rotatio_Hips_720.gif,False,Lie on your back with a resistance band around thighs
202,Band Hip Lift,Strength,Legs,"Adductor, Calves, Glutes, Hamstrings, Quadriceps",Resistance Bands,2/3,https://fitcron.com/wp-content/uploads/2021/04/14081301-Band-Hip-Lift_Hips_720.gif,False,Lie on your back with a resistance band around thighs
203,Band Hip Flexion,Strength,Legs,"Abs, Adductor, Calves, Glutes, Quadriceps",Resistance Bands,2/3,https://fitcron.com/wp-content/uploads/2021/04/15071301-Band-Hip-Flexion_Hips_720.gif,False,Stand with a resistance band around one ankle
204,Band Calf Raise Version 3,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Resistance Bands,1/3,https://fitcron.com/wp-content/uploads/2021/04/15051301-Band-Calf-Raise-Version-3_Calves_720.gif,False,Stand on a resistance band
205,Band Seated Leg Extension Male,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps","Flat Bench, Resistance Bands",2/3,https://fitcron.com/wp-content/uploads/2021/04/35181301-Band-Seated-Leg-Extension-male_Thighs_720.gif,False,Sit with a resistance band anchored behind
206,Assisted Pistol Squat With Bed Sheet,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Other,2/3,https://fitcron.com/wp-content/uploads/2021/04/37471301-Assisted-Pistol-Squat-with-Bed-Sheet_Thighs_720.gif,False,Hold a bed sheet anchored above
207,Cable Standing Hip Extension,Strength,Legs,"Adductor, Calves, Glutes, Hamstrings, Quadriceps",Cable,2/3,https://fitcron.com/wp-content/uploads/2021/04/02281301-Cable-Standing-Hip-Extension_Hips_720.gif,False,Attach a cable to one ankle
208,Cable Pull Through,Strength,Legs,"Adductor, Calves, Glutes, Hamstrings, Quadriceps",Cable,2/3,https://fitcron.com/wp-content/uploads/2021/04/12061301-Cable-pull-through_hips_720.gif,False,Stand with a cable anchored low behind
209,Cable Standing One Leg Calf Raise,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Cable,2/3,https://fitcron.com/wp-content/uploads/2021/04/13761301-Cable-Standing-One-Leg-Calf-Raise_Calves_720.gif,False,Attach a cable to one ankle
210,Cable Standing Calf Raise,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps","Flat Bench, Cable",2/3,https://fitcron.com/wp-content/uploads/2021/04/13751301-Cable-Standing-Calf-Raise_Calves_720.gif,False,Attach a cable to a belt or hold it
211,Cable Standing Leg Curl,Strength,Legs,"Adductor, Calves, Glutes, Hamstrings, Quadriceps",Cable,2/3,https://fitcron.com/wp-content/uploads/2021/04/15471301-Cable-Standing-Leg-Curl_Thighs_720.gif,False,Attach a cable to one ankle
212,Cable Hip Abduction Version 2 Male,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Cable,2/3,https://fitcron.com/wp-content/uploads/2021/04/30481301-Cable-hip-abduction-version-2-male_Hips_720.gif,False,Attach a cable to one ankle
213,Cable Assisted Inverse Leg Curl,Strength,Legs,"Adductor, Calves, Glutes, Hamstrings, Quadriceps","Flat Bench, Cable",2/3,https://fitcron.com/wp-content/uploads/2021/04/32351301-Cable-Assisted-Inverse-Leg-Curl_Thighs_720.gif,False,Lie face down with a cable attached to ankles
214,Cable Forward Lunge,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Cable,2/3,https://fitcron.com/wp-content/uploads/2021/04/33561301-Cable-Forward-Lunge_Thighs_720.gif,False,Hold a cable handle at chest level
215,Cable Lateral Lunge Version 2,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Cable,2/3,https://fitcron.com/wp-content/uploads/2021/04/33551301-Cable-Lateral-Lunge-VERSION-2_Thighs_720.gif,False,Hold a cable handle
216,Cable Kneeling Pull Through,Strength,Legs,"Adductor, Calves, Glutes, Hamstrings, Quadriceps",Cable,2/3,https://fitcron.com/wp-content/uploads/2021/04/33521301-Cable-Kneeling-Pull-Through_Hips_720.gif,False,Kneel with a cable anchored low behind
217,Cable Lunge,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Cable,2/3,https://fitcron.com/wp-content/uploads/2021/04/33511301-Cable-Lunge_Thighs_720.gif,False,Hold cable handles at chest level
218,Cable Front Squat,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Cable,2/3,https://fitcron.com/wp-content/uploads/2021/04/33491301-Cable-Front-Squat_Thighs_720.gif,False,Hold cable handles at chest level
219,Cable Hip Adduction,Strength,Legs,"Adductor, Calves, Glutes, Quadriceps",Cable,2/3,https://fitcron.com/wp-content/uploads/2021/04/01681301-Cable-Hip-Adduction_Thighs_720.gif,False,Attach a cable to one ankle
220,Cable Incline Bench Row,Strength,Back,"Biceps, Lats, Lower Back","Incline Bench, Cable",2/3,https://fitcron.com/wp-content/uploads/2021/04/13181301-Cable-Incline-Bench-Row_Back_720.gif,False,Lie face-up on an incline bench
221,Cable Rope Extension Incline Bench Row,Strength,Back,"Biceps, Lats, Lower Back","Incline Bench, Cable",2/3,https://fitcron.com/wp-content/uploads/2021/04/13221301-Cable-Rope-Extension-Incline-Bench-Row_Back_720.gif,False,Lie face-up on an incline bench
222,Cable Seated Row,Strength,Back,"Biceps, Lats, Lower Back","Flat Bench, Cable",2/3,https://fitcron.com/wp-content/uploads/2021/04/08611301-Cable-seated-row_Back_720.gif,False,Sit at a cable row machine
223,Cable Lat Pulldown Full Range Of Motion,Strength,Back,"Biceps, Lats, Lower Back",Cable,3/3,https://fitcron.com/wp-content/uploads/2021/04/23301301-Cable-Lat-Pulldown-Full-Range-Of-Motion_Back_720.gif,False,Sit at a cable pulldown machine
